EP012005,             ADRIAN,     16,
20050517, 1800,  , TD,  9.8N,  95.2W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050518, 0000,  , TS, 10.1N,  94.9W,  35, 1004,   40,   40,   40,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20050518, 0600,  , TS, 10.5N,  94.4W,  40, 1003,   40,   40,   40,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20050518, 1200,  , TS, 10.7N,  93.6W,  45, 1000,   40,   40,   40,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20050518, 1800,  , TS, 10.8N,  92.9W,  50,  997,   50,   50,   40,   40,   20,   20,    0,    0,    0,    0,    0,    0,
20050519, 0000,  , TS, 11.0N,  92.3W,  50,  997,   50,   50,   30,   30,   20,   20,    0,    0,    0,    0,    0,    0,
20050519, 0600,  , TS, 11.5N,  91.8W,  50,  997,   50,   50,   30,   30,   20,   20,    0,    0,    0,    0,    0,    0,
20050519, 1200,  , TS, 12.1N,  91.2W,  60,  990,   60,   60,   30,   30,   30,   20,    0,    0,    0,    0,    0,    0,
20050519, 1700, I, HU, 12.5N,  90.7W,  70,  982, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20050519, 1800,  , HU, 12.5N,  90.6W,  70,  983,   60,   60,   60,   30,   30,   20,   20,   20,   15,   10,   10,   10,
20050520, 0000,  , TS, 12.6N,  89.9W,  60,  990,   60,   60,   60,   30,   20,   20,   20,   20,    0,    0,    0,    0,
20050520, 0600,  , TS, 12.7N,  89.2W,  50,  997,   50,   50,   50,   30,   20,   20,   20,    0,    0,    0,    0,    0,
20050520, 1200,  , TS, 12.7N,  88.5W,  35, 1003,   30,   40,   40,   20,    0,    0,    0,    0,    0,    0,    0,    0,
20050520, 1800,  , TD, 13.0N,  87.9W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050520, 2100, L, TD, 13.3N,  87.6W,  20, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050521, 0000,  , TD, 13.4N,  87.4W,  20, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
EP022005,            BEATRIZ,     19,
20050621, 1800,  , TD, 13.6N, 101.7W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050622, 0000,  , TD, 13.9N, 102.8W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050622, 0600,  , TD, 14.3N, 103.8W,  30, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050622, 1200,  , TS, 14.8N, 104.9W,  35, 1003,  125,   30,   30,  125,    0,    0,    0,    0,    0,    0,    0,    0,
20050622, 1800,  , TS, 15.2N, 106.0W,  40, 1002,  125,   30,   30,  125,    0,    0,    0,    0,    0,    0,    0,    0,
20050623, 0000,  , TS, 15.7N, 107.1W,  45, 1000,  125,   40,   30,  125,    0,    0,    0,    0,    0,    0,    0,    0,
20050623, 0600,  , TS, 16.3N, 108.3W,  45, 1000,  125,   40,   40,  125,    0,    0,    0,    0,    0,    0,    0,    0,
20050623, 1200,  , TS, 16.7N, 109.4W,  40, 1002,  125,   40,   40,  125,    0,    0,    0,    0,    0,    0,    0,    0,
20050623, 1800,  , TS, 16.9N, 110.4W,  35, 1004,  100,   40,   40,  100,    0,    0,    0,    0,    0,    0,    0,    0,
20050624, 0000,  , TD, 17.1N, 111.3W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050624, 0600,  , LO, 17.4N, 112.2W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050624, 1200,  , LO, 17.8N, 112.9W,  20, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050624, 1800,  , LO, 18.2N, 113.6W,  20, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050625, 0000,  , LO, 18.7N, 114.3W,  20, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050625, 0600,  , LO, 18.7N, 114.5W,  20, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050625, 1200,  , LO, 18.6N, 114.7W,  20, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050625, 1800,  , LO, 18.4N, 114.7W,  20, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050626, 0000,  , LO, 18.2N, 114.7W,  20, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050626, 0600,  , LO, 18.0N, 114.5W,  20, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
EP032005,             CALVIN,     30,
20050626, 0600,  , TD, 12.7N,  97.2W,  25, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050626, 1200,  , TD, 13.0N,  97.7W,  25, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20050626, 1800,  , TS, 13.5N,  97.9W,  35, 1003,   60,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0,
20050627, 0000,  , TS, 14.0N,  98.0W,  35, 1003,   60,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0,
